127.0.0.1, 2018-05-29 10:44:25, GET, /, HTTP/1.1, 303, 0.004654
127.0.0.1, 2018-05-29 10:44:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.365917
127.0.0.1, 2018-05-29 10:44:33, GET, /start/default/index, HTTP/1.1, 200, 0.253164
127.0.0.1, 2018-05-29 10:44:34, GET, /start/api/get_users, HTTP/1.1, 404, 0.258985
127.0.0.1, 2018-05-29 10:45:51, GET, /start/default/index, HTTP/1.1, 200, 0.047377
127.0.0.1, 2018-05-29 10:45:51, GET, /start/api/get_users, HTTP/1.1, 200, 0.080583
127.0.0.1, 2018-05-29 10:46:07, GET, /start/api/get_users, HTTP/1.1, 200, 0.045930
127.0.0.1, 2018-05-29 10:46:07, GET, /start/default/user/login, HTTP/1.1, 200, 0.060056
127.0.0.1, 2018-05-29 10:46:10, POST, /start/default/user/login, HTTP/1.1, 303, 0.026596
127.0.0.1, 2018-05-29 10:46:10, GET, /start/default/user/login, HTTP/1.1, 200, 0.039990
127.0.0.1, 2018-05-29 10:46:12, GET, /start/default/user/register, HTTP/1.1, 200, 0.024912
127.0.0.1, 2018-05-29 10:47:15, POST, /start/default/user/register, HTTP/1.1, 303, 0.046257
127.0.0.1, 2018-05-29 10:47:15, GET, /start/default/index, HTTP/1.1, 200, 0.043526
127.0.0.1, 2018-05-29 10:47:15, GET, /start/api/get_users, HTTP/1.1, 200, 0.043394
127.0.0.1, 2018-05-29 10:47:18, GET, /start/default/user/logout, HTTP/1.1, 303, 0.036189
127.0.0.1, 2018-05-29 10:47:18, GET, /start/api/get_users, HTTP/1.1, 200, 0.037464
127.0.0.1, 2018-05-29 10:47:18, GET, /start/default/index, HTTP/1.1, 200, 0.046099
127.0.0.1, 2018-05-29 10:47:20, GET, /start/default/index, HTTP/1.1, 200, 0.036081
127.0.0.1, 2018-05-29 10:47:20, GET, /start/api/get_users, HTTP/1.1, 200, 0.031542
127.0.0.1, 2018-05-29 10:47:23, GET, /start/api/get_users, HTTP/1.1, 200, 0.033918
127.0.0.1, 2018-05-29 10:47:23, GET, /start/default/user/login, HTTP/1.1, 200, 0.034675
127.0.0.1, 2018-05-29 10:47:31, GET, /start/api/get_users, HTTP/1.1, 200, 0.033609
127.0.0.1, 2018-05-29 10:47:31, GET, /start/default/user/login, HTTP/1.1, 200, 0.034869
127.0.0.1, 2018-05-29 10:47:35, POST, /start/default/user/login, HTTP/1.1, 303, 0.031397
127.0.0.1, 2018-05-29 10:47:35, GET, /start/default/index, HTTP/1.1, 200, 0.022808
127.0.0.1, 2018-05-29 10:47:35, GET, /start/api/get_users, HTTP/1.1, 200, 0.056369
127.0.0.1, 2018-05-29 10:47:40, POST, /start/api/add_images, HTTP/1.1, 200, 0.035006
127.0.0.1, 2018-05-29 10:47:42, GET, /start/api/get_images, HTTP/1.1, 200, 0.013691
127.0.0.1, 2018-05-29 10:47:46, GET, /start/default/user/logout, HTTP/1.1, 303, 0.040688
127.0.0.1, 2018-05-29 10:47:46, GET, /start/api/get_users, HTTP/1.1, 200, 0.040941
127.0.0.1, 2018-05-29 10:47:46, GET, /start/default/index, HTTP/1.1, 200, 0.018467
127.0.0.1, 2018-05-29 10:47:48, GET, /start/api/get_users, HTTP/1.1, 200, 0.033425
127.0.0.1, 2018-05-29 10:47:48, GET, /start/default/user/login, HTTP/1.1, 200, 0.041744
127.0.0.1, 2018-05-29 10:47:50, POST, /start/default/user/login, HTTP/1.1, 303, 0.050102
127.0.0.1, 2018-05-29 10:47:50, GET, /start/default/index, HTTP/1.1, 200, 0.023352
127.0.0.1, 2018-05-29 10:47:53, GET, /start/default/index, HTTP/1.1, 200, 0.035008
127.0.0.1, 2018-05-29 10:47:53, GET, /start/api/get_users, HTTP/1.1, 200, 0.036779
127.0.0.1, 2018-05-29 10:47:53, GET, /start/api/get_users, HTTP/1.1, 200, 0.054343
127.0.0.1, 2018-05-29 10:48:02, GET, /start/api/get_users, HTTP/1.1, 200, 0.044462
127.0.0.1, 2018-05-29 10:48:02, GET, /start/default/index, HTTP/1.1, 200, 0.057813
127.0.0.1, 2018-05-29 10:48:02, GET, /start/api/get_users, HTTP/1.1, 200, 0.035121
127.0.0.1, 2018-05-29 10:48:07, POST, /start/api/add_images, HTTP/1.1, 200, 0.035930
127.0.0.1, 2018-05-29 10:48:09, GET, /start/api/get_images, HTTP/1.1, 200, 0.014004
127.0.0.1, 2018-05-29 10:48:17, GET, /start/default/index, HTTP/1.1, 200, 0.035801
127.0.0.1, 2018-05-29 10:48:17, GET, /start/api/get_users, HTTP/1.1, 200, 0.033505
127.0.0.1, 2018-05-29 10:48:23, GET, /start/default/index, HTTP/1.1, 200, 0.036993
127.0.0.1, 2018-05-29 10:48:23, GET, /start/api/get_users, HTTP/1.1, 200, 0.037916
127.0.0.1, 2018-05-29 10:48:24, GET, /start/api/get_users, HTTP/1.1, 200, 0.051098
127.0.0.1, 2018-05-29 10:48:37, GET, /start/default/index, HTTP/1.1, 200, 0.049291
127.0.0.1, 2018-05-29 10:48:37, GET, /start/api/get_users, HTTP/1.1, 404, 0.049098
127.0.0.1, 2018-05-29 10:48:38, GET, /start/api/get_users, HTTP/1.1, 404, 0.034779
127.0.0.1, 2018-05-29 10:49:00, GET, /start/api/get_users, HTTP/1.1, 404, 0.029068
127.0.0.1, 2018-05-29 10:49:00, GET, /start/default/index, HTTP/1.1, 200, 0.030950
127.0.0.1, 2018-05-29 10:49:00, GET, /start/api/get_users, HTTP/1.1, 404, 0.059089
127.0.0.1, 2018-05-29 11:02:19, GET, /, HTTP/1.1, 303, 0.005629
127.0.0.1, 2018-05-29 11:02:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.193925
127.0.0.1, 2018-05-29 11:02:22, GET, /admin/default/site, HTTP/1.1, 303, 0.142160
127.0.0.1, 2018-05-29 11:02:22, GET, /admin/default/index, HTTP/1.1, 200, 0.050835
127.0.0.1, 2018-05-29 11:02:24, POST, /admin/default/index, HTTP/1.1, 303, 0.027665
127.0.0.1, 2018-05-29 11:02:24, GET, /admin/default/site, HTTP/1.1, 200, 0.057331
127.0.0.1, 2018-05-29 11:02:25, POST, /admin/default/check_version, HTTP/1.1, 200, 0.197594
127.0.0.1, 2018-05-29 11:02:26, GET, /start/api/get_users, HTTP/1.1, 200, 0.130806
127.0.0.1, 2018-05-29 11:02:26, GET, /start/default/index, HTTP/1.1, 200, 0.146573
127.0.0.1, 2018-05-29 11:02:47, GET, /start/default/index, HTTP/1.1, 200, 0.039720
